model,rating,n_ratings,ram_gb,storage_gb,b_camera_mp,f_camera_mp,battery_mah,price_inr
"POCO C50 (Royal Blue, 32 GB)",4.2,33561,2,32,8.0,5.0,5000,5649
"POCO M4 5G (Cool Blue, 64 GB)",4.2,77128,4,64,50.0,8.0,5000,11999
"POCO C51 (Royal Blue, 64 GB)",4.3,15175,4,64,8.0,5.0,5000,6999
"POCO C55 (Cool Blue, 64 GB)",4.2,22621,4,64,50.0,5.0,5000,7749
"POCO C51 (Power Black, 64 GB)",4.3,15175,4,64,8.0,5.0,5000,6999
"POCO M4 5G (Power Black, 64 GB)",4.2,77128,4,64,50.0,8.0,5000,11999
"POCO C55 (Power Black, 64 GB)",4.2,22621,4,64,50.0,5.0,5000,7749
"POCO C55 (Forest Green, 64 GB)",4.2,22621,4,64,50.0,5.0,5000,7749
"POCO C55 (Cool Blue, 128 GB)",4.1,13647,6,128,50.0,5.0,5000,9249
"POCO M4 5G (Yellow, 128 GB)",4.2,40525,6,128,50.0,8.0,5000,13999
"POCO C50 (Country Green, 32 GB)",4.2,33561,2,32,8.0,5.0,5000,5649
"POCO C55 (Power Black, 128 GB)",4.1,13647,6,128,50.0,5.0,5000,9249
"POCO M5 (Power Black, 64 GB)",4.2,7572,4,64,50.0,8.0,5000,8999
"POCO M5 (Icy Blue, 64 GB)",4.2,7572,4,64,50.0,8.0,5000,8999
"POCO M4 5G (Yellow, 64 GB)",4.2,77128,4,64,50.0,8.0,5000,11999
"POCO C55 (Forest Green, 128 GB)",4.1,13647,6,128,50.0,5.0,5000,9249
"POCO M4 5G (Power Black, 128 GB)",4.2,40525,6,128,50.0,8.0,5000,13999
"POCO C50 (Royal Blue, 32 GB)",4.1,11675,3,32,8.0,5.0,5000,6499
"POCO M5 (Yellow, 64 GB)",4.2,7572,4,64,50.0,8.0,5000,8999
"POCO M4 Pro (Yellow, 128 GB)",4.2,21133,8,128,64.0,16.0,5000,13999
"POCO C50 (Country Green, 32 GB)",4.1,11675,3,32,8.0,5.0,5000,6499
"POCO X5 5G (Jaguar Black, 128 GB)",4.1,7285,6,128,48.0,13.0,5000,15999
"POCO X5 5G (Wildcat Blue, 128 GB)",4.1,7285,6,128,48.0,13.0,5000,15999
"POCO M4 Pro 5G (Yellow, 128 GB)",4.2,21688,8,128,50.0,16.0,5000,15999
"POCO M5 (Power Black, 128 GB)",4.2,3525,6,128,50.0,8.0,5000,10999
"POCO M5 (Yellow, 128 GB)",4.2,3525,6,128,50.0,8.0,5000,10999
"POCO X5 5G (Supernova Green, 128 GB)",4.1,7285,6,128,48.0,13.0,5000,15999
"POCO M5 (Icy Blue, 128 GB)",4.2,3525,6,128,50.0,8.0,5000,10999
"POCO M4 Pro (Cool Blue, 128 GB)",4.2,21133,8,128,64.0,16.0,5000,13999
"POCO X5 Pro 5G (Horizon Blue, 256 GB)",4.3,7460,8,256,108.0,16.0,5000,23999
"POCO X5 5G (Jaguar Black, 256 GB)",4.1,2646,8,256,48.0,13.0,5000,17999
"POCO X5 Pro 5G (Astral Black, 256 GB)",4.3,7460,8,256,108.0,16.0,5000,23999
"POCO X5 5G (Wildcat Blue, 256 GB)",4.1,2646,8,256,48.0,13.0,5000,17999
"POCO M3 Pro 5G (Yellow, 128 GB)",4.2,54521,6,128,48.0,8.0,5000,14499
"POCO M4 5G (Cool Blue, 128 GB)",4.2,40239,6,128,50.0,8.0,5000,13999
"POCO X4 Pro 5G (Yellow, 128 GB)",4.2,85420,6,128,64.0,16.0,5000,17499
"POCO X5 Pro 5G (Yellow, 256 GB)",4.3,7460,8,256,108.0,16.0,5000,23999
"POCO X5 Pro 5G (Horizon Blue, 128 GB)",4.3,7885,6,128,108.0,16.0,5000,21999
"POCO X5 Pro 5G (Yellow, 128 GB)",4.3,7885,6,128,108.0,16.0,5000,21999
"POCO X5 Pro 5G (Astral Black, 128 GB)",4.3,7885,6,128,108.0,16.0,5000,21999
"POCO F5 5G (Snowstorm White, 256 GB)",4.2,2683,8,256,64.0,16.0,5000,29999
"POCO X4 Pro 5G (Yellow, 64 GB)",4.2,85420,6,64,64.0,16.0,5000,16499
"POCO X5 5G (Supernova Green, 256 GB)",4.1,2646,8,256,48.0,13.0,5000,17999
"POCO F5 5G (Carbon Black, 256 GB)",4.2,2683,8,256,64.0,16.0,5000,29999
"POCO F5 5G (Electric Blue, 256 GB)",4.2,2683,8,256,64.0,16.0,5000,29999
"POCO C31 (Shadow Gray, 64 GB)",4.3,222992,4,64,13.0,5.0,5000,8999
"POCO F5 5G (Snowstorm White, 256 GB)",4.2,460,12,256,64.0,16.0,5000,32999
"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.2,21576,8,128,64.0,16.0,5000,19499
"POCO M4 Pro 5G (Yellow, 64 GB)",4.3,48896,4,64,50.0,16.0,5000,14999
"POCO F5 5G (Electric Blue, 256 GB)",4.2,460,12,256,64.0,16.0,5000,32999
"POCO C31 (Shadow Gray, 64 GB)",4.3,222992,4,64,13.0,5.0,5000,8999
"POCO F5 5G (Carbon Black, 256 GB)",4.2,460,12,256,64.0,16.0,5000,32999
"POCO C31 (Shadow Gray, 32 GB)",4.3,145794,3,32,13.0,5.0,5000,8499
"POCO X2 (Atlantis Blue, 64 GB)",4.5,271753,6,64,64.0,20.0,4500,17999
"POCO M4 Pro 5G (Yellow, 128 GB)",4.2,56081,6,128,50.0,16.0,5000,16999
"POCO C31 (Royal Blue, 64 GB)",4.3,222992,4,64,13.0,5.0,5000,8999
"POCO X4 Pro 5G (Yellow, 128 GB)",4.2,21576,8,128,64.0,16.0,5000,19499
"POCO C31 (Royal Blue, 32 GB)",4.3,145794,3,32,13.0,5.0,5000,8499
"POCO M4 Pro (Yellow, 128 GB)",4.3,173304,6,128,64.0,16.0,5000,16499
"POCO X2 (Phoenix Red, 256 GB)",4.5,60968,8,256,64.0,20.0,4500,20999
"POCO X2 (Matrix Purple, 256 GB)",4.5,60968,8,256,64.0,20.0,4500,20999
"POCO F1 (Steel Blue, 64 GB)",4.5,244650,6,64,12.0,20.0,4000,13689
"POCO F4 5G (Night Black, 128 GB)",4.3,5304,8,128,64.0,20.0,4500,27999
"POCO F1 (Graphite Black, 128 GB)",4.5,244650,6,128,12.0,20.0,4000,24999
"POCO M4 Pro (Yellow, 64 GB)",4.3,173304,6,64,64.0,16.0,5000,14999
"POCO C3 (Matte Black, 32 GB)",4.3,400433,3,32,13.0,5.0,5000,9999
"POCO X4 Pro 5G (Laser Blue, 64 GB)",4.2,85420,6,64,64.0,16.0,5000,16499
"POCO M2 Reloaded (Mostly Blue, 64 GB)",4.3,67498,4,64,13.0,8.0,5000,11990
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,352150,6,64,48.0,16.0,5000,17999
"POCO M2 Pro (Out of the Blue, 128 GB)",4.4,352150,6,128,48.0,16.0,5000,19999
"POCO C3 (Arctic Blue, 32 GB)",4.3,400433,3,32,13.0,5.0,5000,9999
"POCO X2 (Phoenix Red, 64 GB)",4.5,271753,6,64,64.0,20.0,4500,15490
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.2,85420,6,128,64.0,16.0,5000,17499
"POCO F4 5G (Night Black, 256 GB)",4.3,3312,12,256,64.0,20.0,4500,39999
"POCO X3 Pro (Graphite Black, 128 GB)",4.3,137003,6,128,48.0,20.0,5160,23999
"POCO F4 5G (Night Black, 128 GB)",4.3,12889,6,128,64.0,20.0,4500,27999
"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.2,85420,6,128,64.0,16.0,5000,17499
"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,249602,4,64,48.0,16.0,5000,16999
"POCO F1 (Rosso Red, 64 GB)",4.5,244650,6,64,12.0,20.0,4000,21999
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,352150,6,64,48.0,16.0,5000,17999
"POCO M2 Pro (Two Shades of Black, 128 GB)",4.4,352150,6,128,48.0,16.0,5000,19999
"POCO X2 (Atlantis Blue, 256 GB)",4.5,60968,8,256,64.0,20.0,4500,20999
